,ori_node,des_node,ori_layer,des_layer
160,6779.0,2175.0,2.0,2.0
161,6779.0,5653.0,2.0,2.0
162,6779.0,10905.0,2.0,2.0
163,6808.0,12495.0,2.0,2.0
164,6808.0,18026.0,2.0,2.0
165,6838.0,11389.0,2.0,2.0
166,6838.0,34544.0,2.0,2.0
167,6838.0,51019.0,2.0,2.0
168,7032.0,8142.0,2.0,2.0
169,7032.0,15736.0,2.0,2.0
170,7032.0,34450.0,2.0,2.0
171,7980.0,12678.0,2.0,2.0
172,7980.0,27200.0,2.0,2.0
173,8020.0,26219.0,2.0,2.0
174,8020.0,33257.0,2.0,2.0
175,8020.0,38876.0,2.0,2.0
176,8142.0,6235.0,2.0,2.0
177,8142.0,7032.0,2.0,2.0
178,8142.0,22307.0,2.0,2.0
179,8142.0,23964.0,2.0,2.0
180,8142.0,27200.0,2.0,2.0
181,8142.0,40360.0,2.0,2.0
182,8142.0,49901.0,2.0,2.0
183,9044.0,2523.0,2.0,2.0
184,9044.0,45936.0,2.0,2.0
185,9225.0,6194.0,2.0,2.0
186,9225.0,38876.0,2.0,2.0
187,9225.0,42656.0,2.0,2.0
188,9225.0,42918.0,2.0,2.0
189,9225.0,45933.0,2.0,2.0
190,9685.0,335.0,2.0,2.0
191,9685.0,2760.0,2.0,2.0
192,9685.0,13745.0,2.0,2.0
193,9685.0,19516.0,2.0,2.0
194,9685.0,26411.0,2.0,2.0
195,9685.0,30363.0,2.0,2.0
196,9685.0,31640.0,2.0,2.0
197,9685.0,32217.0,2.0,2.0
198,9685.0,47492.0,2.0,2.0
199,9685.0,48282.0,2.0,2.0
200,9862.0,3860.0,2.0,2.0
201,9862.0,18467.0,2.0,2.0
202,10217.0,858.0,2.0,2.0
203,10217.0,7588.0,2.0,2.0
204,10217.0,14766.0,2.0,2.0
205,10217.0,36851.0,2.0,2.0
206,10368.0,23540.0,2.0,2.0
207,10368.0,34317.0,2.0,2.0
208,10548.0,18446.0,2.0,2.0
209,10548.0,27200.0,2.0,2.0
210,10548.0,47492.0,2.0,2.0
211,10548.0,49630.0,2.0,2.0
212,10756.0,50054.0,2.0,2.0
213,10804.0,8116.0,2.0,2.0
214,10804.0,28709.0,2.0,2.0
215,10804.0,34600.0,2.0,2.0
216,10905.0,2175.0,2.0,2.0
217,10905.0,6779.0,2.0,2.0
218,11215.0,3220.0,2.0,2.0
219,11215.0,6675.0,2.0,2.0
220,11215.0,23543.0,2.0,2.0
221,11215.0,29072.0,2.0,2.0
222,11215.0,48219.0,2.0,2.0
223,11389.0,6838.0,2.0,2.0
224,11389.0,46232.0,2.0,2.0
225,11730.0,41111.0,2.0,2.0
226,11730.0,45738.0,2.0,2.0
227,11991.0,5647.0,2.0,2.0
228,11991.0,20890.0,2.0,2.0
229,11991.0,33089.0,2.0,2.0
230,12277.0,8859.0,2.0,2.0
231,12277.0,17745.0,2.0,2.0
232,12281.0,2837.0,2.0,2.0
233,12281.0,7588.0,2.0,2.0
234,12281.0,12495.0,2.0,2.0
235,12281.0,14766.0,2.0,2.0
236,12281.0,15216.0,2.0,2.0
237,12281.0,22331.0,2.0,2.0
238,12281.0,28461.0,2.0,2.0
239,12281.0,29173.0,2.0,2.0
240,12281.0,30473.0,2.0,2.0
241,12281.0,31874.0,2.0,2.0
242,12281.0,32412.0,2.0,2.0
243,12281.0,32698.0,2.0,2.0
244,12281.0,34872.0,2.0,2.0
245,12281.0,37045.0,2.0,2.0
246,12678.0,7980.0,2.0,2.0
247,12678.0,22307.0,2.0,2.0
248,12678.0,26481.0,2.0,2.0
249,12678.0,27200.0,2.0,2.0
250,12678.0,29371.0,2.0,2.0
251,12678.0,34450.0,2.0,2.0
252,12686.0,153.0,2.0,2.0
253,12686.0,998.0,2.0,2.0
254,12686.0,5044.0,2.0,2.0
255,12686.0,34524.0,2.0,2.0
256,12690.0,19516.0,2.0,2.0
257,12690.0,19715.0,2.0,2.0
258,12763.0,7458.0,2.0,2.0
259,12763.0,16158.0,2.0,2.0
260,12763.0,22856.0,2.0,2.0
261,12763.0,35082.0,2.0,2.0
262,12763.0,39573.0,2.0,2.0
263,12764.0,22447.0,2.0,2.0
264,12764.0,34946.0,2.0,2.0
265,12775.0,5892.0,2.0,2.0
266,12775.0,33013.0,2.0,2.0
267,12782.0,33871.0,2.0,2.0
268,12782.0,41470.0,2.0,2.0
269,13745.0,1133.0,2.0,2.0
270,13745.0,2760.0,2.0,2.0
271,13745.0,7300.0,2.0,2.0
272,13745.0,9685.0,2.0,2.0
273,13745.0,13745.0,2.0,2.0
274,13745.0,16766.0,2.0,2.0
275,13745.0,22872.0,2.0,2.0
276,13745.0,25380.0,2.0,2.0
277,13745.0,30363.0,2.0,2.0
278,13745.0,35082.0,2.0,2.0
279,13745.0,48282.0,2.0,2.0
280,14550.0,33013.0,2.0,2.0
281,14550.0,41111.0,2.0,2.0
282,14680.0,10350.0,2.0,2.0
283,14680.0,14605.0,2.0,2.0
284,14680.0,15927.0,2.0,2.0
285,14680.0,35082.0,2.0,2.0
286,14680.0,262044.0,2.0,2.0
287,14696.0,16461.0,2.0,2.0
288,14696.0,51312.0,2.0,2.0
289,14766.0,2837.0,2.0,2.0
290,14766.0,7588.0,2.0,2.0
291,14766.0,10217.0,2.0,2.0
292,14766.0,17617.0,2.0,2.0
293,14766.0,33257.0,2.0,2.0
294,14766.0,44899.0,2.0,2.0
295,15091.0,22279.0,2.0,2.0
296,15091.0,24535.0,2.0,2.0
297,15792.0,22279.0,2.0,2.0
298,15792.0,24535.0,2.0,2.0
299,15792.0,35082.0,2.0,2.0
300,15792.0,46409.0,2.0,2.0
301,15927.0,11801.0,2.0,2.0
302,15927.0,14605.0,2.0,2.0
303,15927.0,14680.0,2.0,2.0
304,15927.0,16158.0,2.0,2.0
305,15927.0,35082.0,2.0,2.0
306,16158.0,7458.0,2.0,2.0
307,16158.0,12763.0,2.0,2.0
308,16158.0,17150.0,2.0,2.0
309,16158.0,23690.0,2.0,2.0
310,16158.0,34600.0,2.0,2.0
311,16158.0,35082.0,2.0,2.0
312,16158.0,48253.0,2.0,2.0
313,16192.0,5099.0,2.0,2.0
314,16192.0,6776.0,2.0,2.0
315,16192.0,9042.0,2.0,2.0
316,16192.0,9217.0,2.0,2.0
317,16192.0,10138.0,2.0,2.0
318,16192.0,12288.0,2.0,2.0
319,16192.0,28519.0,2.0,2.0
320,16192.0,29165.0,2.0,2.0
321,16192.0,32927.0,2.0,2.0
322,16192.0,33908.0,2.0,2.0
323,16192.0,35633.0,2.0,2.0
324,16192.0,37324.0,2.0,2.0
325,16192.0,42467.0,2.0,2.0
326,16192.0,42596.0,2.0,2.0
327,16192.0,44940.0,2.0,2.0
328,16192.0,49583.0,2.0,2.0
329,16498.0,11652.0,2.0,2.0
330,16498.0,19234.0,2.0,2.0
331,16498.0,30231.0,2.0,2.0
332,16585.0,28158.0,2.0,2.0
333,16766.0,336.0,2.0,2.0
334,16766.0,13745.0,2.0,2.0
335,16766.0,25380.0,2.0,2.0
336,16766.0,27200.0,2.0,2.0
337,16766.0,29271.0,2.0,2.0
338,16766.0,35082.0,2.0,2.0
339,16863.0,2175.0,2.0,2.0
340,16863.0,23871.0,2.0,2.0
341,16984.0,5647.0,2.0,2.0
342,16984.0,24798.0,2.0,2.0
343,16984.0,30035.0,2.0,2.0
344,16984.0,33514.0,2.0,2.0
345,17150.0,16158.0,2.0,2.0
346,17150.0,26052.0,2.0,2.0
347,17355.0,4570.0,2.0,2.0
348,17355.0,29271.0,2.0,2.0
349,17355.0,49901.0,2.0,2.0
350,17423.0,2523.0,2.0,2.0
