source,target
14170,48220
14170,51130
14170,63204
14170,18410
14170,26710
17510,9433
17510,12002
17510,19445
17510,40673
17510,51130
22304,1234
22304,34601
22304,37570
40760,12261
40760,15342
40760,18410
40760,28517
40760,29030
40760,29725
40760,31321
40760,35892
40760,7562
40760,30731
40760,42714
40760,48904
638,24054
638,35789
638,37853
638,47235
24054,35789
24054,37853
35789,40739
35789,47235
47235,13573
47235,21998
47235,30043
47235,41482
47235,71931
645,3333
645,28720
645,35722
645,45229
645,45264
645,46622
645,225617
645,12162
3333,15925
3333,26709
3333,28720
3333,35722
3333,45264
3333,225617
3333,12162
28720,12162
28720,35722
28720,46622
28720,225617
35722,11374
35722,12162
35722,16388
35722,17141
35722,20893
35722,21038
35722,28489
35722,29725
35722,45229
35722,45264
35722,47118
35722,50803
35722,51003
35722,225617
45229,12162
45264,7300
45264,10644
45264,15925
45264,18692
45264,24193
45264,28054
45264,40881
45264,29204
45264,50926
45264,225617
46622,225617
225617,12162
225617,15925
647,23103
23103,36778
649,23116
649,32235
23116,39352
32235,39997
32235,212795
708,6367
708,24372
708,45909
6367,24372
6367,45909
24372,25451
727,18397
727,40508
727,45767
18397,43501
18397,44502
18397,45767
40508,17425
40508,19234
40508,33810
40508,27200
40508,45767
45767,19026
45767,36251
811,5892
811,22272
811,23690
811,48591
5892,5002
5892,2760
5892,12775
5892,18447
5892,22272
5892,34317
5892,48591
22272,5002
22272,35082
22272,48374
22272,48585
22272,23690
22272,48282
23690,16158
23690,18447
23690,20397
23690,7458
23690,34600
23690,35082
23690,48253
23690,38319
23690,47492
813,16358
813,152968
16358,2704
16358,13380
16358,152968
16358,174119
16358,194299
816,1986
816,23407
816,30453
816,33405
1986,9433
23407,9433
23407,30453
23407,46654
23407,38541
33405,9433
33405,19579
33405,51198
832,8076
832,41040
8076,10974
8076,23368
8076,41040
41040,1495
41040,10275
41040,13097
41040,23052
41040,23368
41040,32002
41040,34655
41040,46118
41040,46669
41040,47619
843,22331
843,24142
843,35373
843,45479
22331,2837
22331,4598
22331,12281
22331,18026
22331,21257
22331,24142
22331,30259
22331,32412
22331,35053
24142,4598
24142,35373
24142,41890
24142,45479
35373,41890
45479,1113
45479,4598
45479,41890
858,10217
858,16866
10217,2837
10217,7588
10217,14766
10217,36851
16866,7588
885,37700
37700,1236
37700,4454
37700,7458
37700,11927
37700,42049
887,29173
887,41462
29173,12281
29173,25410
29173,32412
29173,37045
41462,34189
906,4515
906,26198
4515,2029
4515,26198
4515,28135
4515,37490
26198,26107
26198,28135
915,2837
915,12956
915,21666
915,27699
915,30473
915,34872
915,234857
915,7588
2837,2467
2837,7300
2837,7588
2837,8020
2837,8959
2837,12281
2837,14766
2837,22479
2837,26219
2837,26777
2837,28461
2837,30473
2837,33257
2837,38876
2837,45019
2837,29412
2837,34872
2837,36851
12956,2405
12956,4903
12956,27699
12956,34872
21666,30473
27699,34872
27699,30473
30473,7588
30473,12281
30473,29412
30473,34872
34872,7588
34872,12281
34872,15216
34872,21635
34872,37748
234857,222120
925,25903
925,31444
25903,7082
25903,11009
31444,22605
961,10059
961,16308
961,26771
961,49861
961,85581
961,1898
961,16116
10059,1898
10059,85581
10059,256453
16308,16116
16308,26771
16308,49861
26771,16116
26771,49861
49861,16116
85581,1898
85581,256453
962,8773
962,27133
962,44677
8773,10102
8773,27133
8773,33814
8773,38473
8773,39157
8773,39278
8773,42067
8773,50640
27133,7461
27133,33814
27133,42067
44677,51401
998,34524
1051,4704
1051,12528
1051,39598
1051,44345
4704,1082
4704,3285
4704,5334
4704,9910
4704,17171
4704,20751
4704,24752
4704,27780
4704,44345
12528,11155
12528,44345
12528,24752
39598,3285
1065,15342
1065,34260
34260,47892
1082,5334
1082,14596
1082,33015
1082,37047
1082,40513
5334,4453
5334,5594
5334,11034
5334,25688
5334,27240
5334,29338
5334,29401
5334,30927
5334,41126
5334,43090
5334,48364
5334,5631
14596,4453
14596,18862
33015,15922
33015,44345
37047,5080
37047,12536
37047,12702
37047,14588
37047,21422
37047,31481
37047,33319
37047,29338
37047,34494
37047,38203
37047,40926
37047,43282
37047,43402
37047,45852
40513,30058
1112,7948
1112,22268
7948,18003
22268,160217
1113,4598
1113,41890
1113,35053
4598,26777
4598,35053
4598,41890
4598,46929
4598,21257
1133,7300
1133,13745
7300,1807
7300,4919
7300,5719
7300,3957
7300,7611
7300,10348
7300,10402
7300,11603
7300,13745
7300,18467
7300,18692
7300,29204
7300,37160
7300,38024
7300,39227
7300,39490
7300,40881
7300,43673
7300,50926
7300,51104
7300,51183
7300,13167
7300,27192
13745,2760
13745,22872
13745,25380
13745,35082
13745,48282
1176,5797
1176,24439
1176,43369
1176,49694
1176,8189
1176,11626
5797,3963
5797,7082
5797,11626
5797,13968
5797,23986
5797,26710
5797,27382
5797,41207
5797,43369
5797,48111
5797,49694
24439,8189
24439,43369
43369,8189
43369,18426
43369,35496
43369,48111
43369,49694
49694,2205
49694,8189
49694,11626
1201,26988
1201,36161
26988,31747
26988,139774
36161,24268
1231,30332
1231,42596
30332,16920
30332,42596
42596,16192
42596,32927
1234,5736
5736,34601
1236,4454
1236,10275
1236,11927
1236,19967
1236,21036
1236,27511
1236,32014
10275,27511
10275,32014
10275,38356
10275,46118
10275,46669
10275,49216
11927,27487
11927,32014
11927,240914
19967,41096
21036,27511
32014,3108
32014,3348
32014,12247
32014,28846
32014,38356
32014,41096
32014,41278
32014,240914
1254,5316
5316,8309
1264,3517
1264,14605
3517,2760
3517,2878
3517,23990
3517,47812
3517,203011
14605,7458
14605,10350
14605,11706
14605,14680
14605,15927
14605,29778
14605,35082
14605,262044
1267,12913
1267,39815
1267,50493
12913,4032
12913,33016
12913,39815
39815,3239
39815,3488
39815,4543
39815,16401
39815,33016
39815,47209
50493,4032
1268,18610
1268,31116
18610,12442
18610,31116
31116,12442
31116,14267
1270,3958
1270,11604
1270,135145
3958,5080
3958,11604
3958,16871
3958,20123
3958,20147
3958,21866
3958,30570
3958,38682
3958,135145
11604,21866
11604,135145
1290,3479
1290,121355
3479,29078
121355,7884
1297,19030
1411,5631
1411,15922
1411,37348
1411,17171
5631,25688
5631,36698
37348,36698
1456,17037
1456,24693
17037,12536
24693,206821
1476,11214
1476,14588
11214,8954
11214,46257
14588,4355
14588,5408
14588,6055
14588,9370
14588,12324
14588,12536
14588,20414
14588,23358
14588,31481
14588,36481
14588,40926
14588,220245
1478,24799
24799,23668
1481,10843
1481,29097
10843,20998
29097,36943
1495,4229
1495,5780
1495,7458
1495,7616
1495,9255
1495,10761
1495,13573
1495,16230
1495,28672
1495,33800
1495,36360
1495,42049
1495,46952
1495,18020
1495,34448
4229,9255
5780,10694
5780,13573
5780,30726
7458,20397
7458,21164
7458,27200
7458,31368
7458,35082
7458,35134
7458,35504
7458,35743
7458,42049
7458,49630
7458,12763
7458,16158
7458,18447
7458,44156
7458,46952
7616,33800
7616,36360
7616,43210
9255,28672
9255,212027
10761,1965
10761,2014
10761,5713
10761,7432
10761,8561
10761,9630
10761,10018
10761,12765
10761,14041
10761,20293
10761,22604
10761,23869
10761,24813
10761,26466
10761,32625
10761,39358
10761,40101
10761,44531
10761,50640
10761,132863
10761,45147
10761,172415
13573,4293
13573,10082
13573,18020
13573,30726
13573,31911
13573,39925
13573,39980
16230,25421
16230,34448
28672,13097
28672,47439
28672,49065
33800,31368
33800,38722
33800,43210
33800,44468
33800,47786
33800,42049
42049,27200
42049,31368
42049,33514
42049,34937
42049,35134
42049,35504
42049,44156
42049,46952
1508,4330
1508,29406
4330,229875
29406,6677
29406,7745
29406,16401
1594,11357
1594,50640
1594,175646
1594,22054
11357,189275
50640,1969
50640,2014
50640,3486
50640,8930
50640,27700
50640,30594
50640,38473
50640,40101
50640,42078
50640,23669
50640,50643
50640,175646
1623,29338
29338,3518
29338,11034
29338,15934
29338,32556
29338,33319
29338,41126
1673,31029
1673,32893
1673,45333
1673,107204
1673,158338
31029,94247
31029,107204
31029,158338
31029,165379
32893,37410
32893,45333
32893,107204
